id;Type;modes;modesshifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;1.3410463333129883;1.3410463333129883;4.68962025642395;4.68962025642395
coupon.9-4-5.exp_draws;dtmc;1.1572401523590088;1.1572401523590088;4.407823085784912;4.407823085784912
coupon.15-4-5.collect_all_bounded;dtmc;35.169140577316284;35.169140577316284;4000;4000
coupon.15-4-5.exp_draws;dtmc;1.182654857635498;1.182654857635498;1396.6023995876312;1396.6023995876312
crowds.5-20.positive;dtmc;1.8155770301818848;1.8155770301818848;2.555194854736328;2.555194854736328
crowds.6-20.positive;dtmc;1.6924643516540527;1.6924643516540527;2.9509332180023193;2.9509332180023193
egl.10-2.messagesB;dtmc;1.5322930812835693;1.5322930812835693;3.3275957107543945;3.3275957107543945
egl.10-2.unfairA;dtmc;1.5865931510925293;1.5865931510925293;1.6060616970062256;1.6060616970062256
egl.10-8.messagesB;dtmc;1.9752705097198486;1.9752705097198486;15.637234687805176;15.637234687805176
egl.10-8.unfairA;dtmc;1.995056390762329;1.995056390762329;2.7393476963043213;2.7393476963043213
haddad-monmege.100-0.7.exp_steps;dtmc;4000;4000;0.05856442451477051;1
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.056337594985961914;1
nand.40-4.reliable;dtmc;1.632643222808838;1.632643222808838;7.21002197265625;7.21002197265625
nand.60-4.reliable;dtmc;1.7370505332946777;1.7370505332946777;31.618762731552124;31.618762731552124
cluster.128-2000-20.premium_steady;ctmc;1.3333492279052734;1.3333492279052734;13.889392375946045;13.889392375946045
cluster.128-2000-20.qos1;ctmc;4000;4000;445.4874930381775;445.4874930381775
cluster.64-2000-20.below_min;ctmc;4000;4000;9.089563608169556;9.089563608169556
embedded.8-12.actuators;ctmc;596.6457431316376;596.6457431316376;0.3208444118499756;1
embedded.8-12.up_time;ctmc;19.1947078704834;19.1947078704834;0.28497791290283203;1
fms.8.productivity;ctmc;1.3885276317596436;1.3885276317596436;71.9542944431305;71.9542944431305
kanban.5.throughput;ctmc;1.2951877117156982;1.2951877117156982;18.703588485717773;18.703588485717773
majority.2100.change_state;ctmc;25.797722339630127;25.797722339630127;62.66628384590149;62.66628384590149
mapk_cascade.4-30.activated_time;ctmc;1.6191112995147705;1.6191112995147705;4.023967027664185;4.023967027664185
mapk_cascade.4-30.reactions;ctmc;1.3278398513793945;1.3278398513793945;233.2560749053955;233.2560749053955
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;1146.796303987503;1146.796303987503;74.05376076698303;74.05376076698303
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.2565648555755615;1.2565648555755615;1.4504799842834473;1.4504799842834473
philosophers.16-1.MinExpTimeDeadlock;ctmc;1.286550760269165;1.286550760269165;21.593319416046143;21.593319416046143
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;1.280956506729126;1.280956506729126;1.9490702152252197;1.9490702152252197
philosophers.20-1.MinExpTimeDeadlock;ctmc;1.3435924053192139;1.3435924053192139;4000;4000
polling.18-16.s1_before_s2;ctmc;7.9360878467559814;7.9360878467559814;22.788467407226562;22.788467407226562
speed-ind.2100.change_state;ctmc;38.060200452804565;38.060200452804565;242.6354639530182;242.6354639530182
