id;Type;DFTRES;DFTRESshifted;other;othershifted
crowds.5-20.positive;dtmc;80000;80000;9.515362669829673e-16;1
crowds.6-20.positive;dtmc;80000;80000;1.2050697748760292e-15;1
haddad-monmege.100-0.7.target;dtmc;80000;80000;6.34413156928661e-17;1
cabinets.3-2-true.Unavailability;ma;80000;80000;1e-20;1
cabinets.3-2-true.Unreliability;ma;80000;80000;1e-20;1
ftpp.2-2-true.Unavailability;ma;80000;80000;80000;80000
hecs.false-1-1.Unreliability;ma;80000;80000;1e-20;1
hecs.false-2-2.Unreliability;ma;80000;80000;1e-20;1
hecs.false-3-2.Unreliability;ma;80000;80000;1e-20;1
sms.3-true.Unreliability;ma;80000;80000;1e-20;1
sms.3-true.Unavailability;ma;1e-20;1;1e-20;1
vgs.5-10000.MaxPrReachFailedTB;ma;80000;80000;1e-20;1
