id;Type;ModestFRETpiLRTDP;ModestFRETpiLRTDPshifted;other;othershifted
beb.4-8-7.LineSeized;mdp;4000;4000;29.184969186782837;29.184969186782837
beb.5-16-15.LineSeized;mdp;8000;8000;2.48786997795105;2.48786997795105
consensus.4-4.disagree;mdp;4000;4000;1.4549946784973145;1.4549946784973145
consensus.4-4.steps_min;mdp;4000;4000;2.243938684463501;2.243938684463501
consensus.6-2.disagree;mdp;4000;4000;6.063857316970825;6.063857316970825
consensus.6-2.steps_min;mdp;4000;4000;3.677351474761963;3.677351474761963
csma.3-4.time_max;mdp;4000;4000;6.658794164657593;6.658794164657593
csma.4-2.time_max;mdp;4000;4000;4.363117456436157;4.363117456436157
eajs.5-250-11.ExpUtil;mdp;4000;4000;17.623847723007202;17.623847723007202
eajs.6-300-13.ExpUtil;mdp;4000;4000;45.686034202575684;45.686034202575684
echoring.100.MaxOffline1;mdp;4000;4000;5.541377305984497;5.541377305984497
elevators.b-11-9.goal;mdp;3.0427956581115723;3.0427956581115723;8.883005619049072;8.883005619049072
exploding-blocksworld.10.goal;mdp;4000;4000;2.1086807250976562;2.1086807250976562
pacman.100.crash;mdp;4000;4000;73.49217557907104;73.49217557907104
pacman.60.crash;mdp;4000;4000;32.46374273300171;32.46374273300171
pnueli-zuck.5.live;mdp;1.0364038944244385;1.0364038944244385;0.6649792194366455;1
pnueli-zuck.10.live;mdp;1.5411746501922607;1.5411746501922607;0.6351883411407471;1
rabin.10.live;mdp;1.0410223007202148;1.0410223007202148;1.2377865314483643;1.2377865314483643
rectangle-tireworld.11.goal;mdp;112.6804678440094;112.6804678440094;7.495967864990234;7.495967864990234
resource-gathering.1300-100-100.expsteps;mdp;4000;4000;25.759570121765137;25.759570121765137
tireworld.45.goal;mdp;1.040675163269043;1.040675163269043;401.94560527801514;401.94560527801514
triangle-tireworld.441.goal;mdp;2.0422236919403076;2.0422236919403076;2.530890464782715;2.530890464782715
wlan.4-0.sent;mdp;4000;4000;2.2007222175598145;2.2007222175598145
wlan.4-0.cost_min;mdp;3.0407462120056152;3.0407462120056152;4.341279983520508;4.341279983520508
wlan.5-0.sent;mdp;4000;4000;3.432474374771118;3.432474374771118
wlan.5-0.cost_min;mdp;3.546347141265869;3.546347141265869;14.526547908782959;14.526547908782959
wlan.6-0.sent;mdp;4000;4000;6.631868124008179;6.631868124008179
wlan.6-0.cost_min;mdp;3.5443286895751953;3.5443286895751953;53.05412244796753;53.05412244796753
zenotravel.4-2-2.goal;mdp;2.043485403060913;2.043485403060913;7.005172967910767;7.005172967910767
zeroconf.1000-8-false.correct_max;mdp;4000;4000;12.376911401748657;12.376911401748657
zeroconf.1000-8-false.correct_min;mdp;16000;16000;1.2021286487579346;1.2021286487579346
