id;Type;DFTRES;DFTRESshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;2.7329373359680176;2.7329373359680176
crowds.6-20.positive;dtmc;4000;4000;2.985177755355835;2.985177755355835
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.057616233825683594;1
cabinets.3-2-true.Unavailability;ma;4000;4000;56.88949704170227;56.88949704170227
cabinets.3-2-true.Unreliability;ma;4000;4000;29.431943893432617;29.431943893432617
ftpp.2-2-true.Unavailability;ma;46.96740245819092;46.96740245819092;4000;4000
hecs.false-1-1.Unreliability;ma;114.38483238220215;114.38483238220215;0.06630277633666992;1
hecs.false-2-2.Unreliability;ma;131.3851716518402;131.3851716518402;0.0995478630065918;1
hecs.false-3-2.Unreliability;ma;4000;4000;0.3427000045776367;1
sms.3-true.Unreliability;ma;3.0705976486206055;3.0705976486206055;0.07076811790466309;1
sms.3-true.Unavailability;ma;3.4535748958587646;3.4535748958587646;13.504166603088379;13.504166603088379
vgs.5-10000.MaxPrReachFailedTB;ma;4000;4000;0.16817975044250488;1
