id;Type;modes;modesshifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;179.95943593978882;179.95943593978882;4.716279983520508;4.716279983520508
coupon.9-4-5.exp_draws;dtmc;9.82671594619751;9.82671594619751;4.516379117965698;4.516379117965698
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;19.671817779541016;19.671817779541016;1408.3705487251282;1408.3705487251282
crowds.5-20.positive;dtmc;1475.5086421966553;1475.5086421966553;2.5337255001068115;2.5337255001068115
crowds.6-20.positive;dtmc;1187.2745399475098;1187.2745399475098;2.7959890365600586;2.7959890365600586
egl.10-2.messagesB;dtmc;300.26718401908875;300.26718401908875;2.3705031871795654;2.3705031871795654
egl.10-2.unfairA;dtmc;428.6573052406311;428.6573052406311;1.6905262470245361;1.6905262470245361
egl.10-8.messagesB;dtmc;1259.660579442978;1259.660579442978;15.811761379241943;15.811761379241943
egl.10-8.unfairA;dtmc;1406.6142647266388;1406.6142647266388;2.835864543914795;2.835864543914795
haddad-monmege.100-0.7.exp_steps;dtmc;4000;4000;0.05772733688354492;1
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.057616233825683594;1
nand.40-4.reliable;dtmc;1040.465175151825;1040.465175151825;7.0185158252716064;7.0185158252716064
nand.60-4.reliable;dtmc;1208.5479717254639;1208.5479717254639;30.964380502700806;30.964380502700806
cluster.128-2000-20.premium_steady;ctmc;1.4498915672302246;1.4498915672302246;34.00934982299805;34.00934982299805
cluster.128-2000-20.qos1;ctmc;4000;4000;153.45935201644897;153.45935201644897
cluster.64-2000-20.below_min;ctmc;4000;4000;51.352051734924316;51.352051734924316
embedded.8-12.actuators;ctmc;4000;4000;0.12589550018310547;1
embedded.8-12.up_time;ctmc;4000;4000;0.0983588695526123;1
fms.8.productivity;ctmc;23.584816455841064;23.584816455841064;91.473153591156;91.473153591156
kanban.5.throughput;ctmc;16000;16000;30.435271739959717;30.435271739959717
majority.2100.change_state;ctmc;4000;4000;32.29943537712097;32.29943537712097
mapk_cascade.4-30.activated_time;ctmc;871.3053133487701;871.3053133487701;3.711729049682617;3.711729049682617
mapk_cascade.4-30.reactions;ctmc;182.11770367622375;182.11770367622375;232.8868658542633;232.8868658542633
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;4000;4000;46.3243293762207;46.3243293762207
philosophers.16-1.MaxPrReachDeadlock;ctmc;1.7078475952148438;1.7078475952148438;1.4345078468322754;1.4345078468322754
philosophers.16-1.MinExpTimeDeadlock;ctmc;98.42154455184937;98.42154455184937;24.108980894088745;24.108980894088745
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;1.977264404296875;1.977264404296875;1.9974346160888672;1.9974346160888672
philosophers.20-1.MinExpTimeDeadlock;ctmc;128.88317608833313;128.88317608833313;4000;4000
polling.18-16.s1_before_s2;ctmc;4000;4000;15.528366327285767;15.528366327285767
speed-ind.2100.change_state;ctmc;4000;4000;125.93564033508301;125.93564033508301
